"occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","difference.z_mean","difference.z_median","difference.z_min_id","difference.z_max_id","difference.z_min","difference.z_max","RMSE.z_min","RMSE.z_mean","RMSE.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC.z_min","N_cor_ICC.z_mean","N_cor_ICC.z_max","N_valid_ICC.z_handled_min","N_valid_ICC.z_handled_mean","N_valid_ICC.z_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE.z_N_min","RMSE.z_N_mean","RMSE.z_N_max"
"by order",20,3,0.336,0.608,0.728,-0.301,-0.288,112,175,-0.829,0.161,NA,NA,NA,0.261,0.337,0.45,0.386,0.614,0.793,0.114,0.228,0.359,0,0,0,0,1.762,7,91,130.821,154,91,130.036,154,91,130.821,154,0,4.476,31,NA,NA,NA
"by order",20,4,0.353,0.661,0.77,-0.25,-0.262,112,84,-0.835,2.381,NA,NA,NA,0.285,0.499,1.749,0.542,0.725,0.988,0.08,0.148,0.253,0,0,0,0,1,3,119,147.357,162,118,146.397,161,119,147.357,162,0,1.873,13,NA,NA,NA
"by order",20,5,0.44,0.725,0.774,-0.2,-0.196,112,84,-0.832,0.492,NA,NA,NA,0.317,0.367,1.586,0.652,0.725,0.986,0.062,0.131,0.259,0,0,0,0,0.706,3,128,151.476,164,127,150.429,164,128,151.476,164,0,0.802,5,NA,NA,NA
"by order",20,6,0.394,0.749,0.796,-0.161,-0.148,112,84,-0.832,0.804,NA,NA,NA,0.339,0.385,1.504,0.708,0.758,0.985,0.045,0.093,0.176,0,0,0,0,0.429,2,144,158.917,168,144,157.786,167,144,158.917,168,0,0.31,2,NA,NA,NA
"by order",20,7,0.718,0.769,0.799,-0.108,-0.097,112,84,-0.832,0.684,NA,NA,NA,0.356,0.379,0.415,0.743,0.772,0.81,0.045,0.084,0.136,0,0,0,0,0.25,1,152,160.917,168,152,159.694,166,152,160.917,168,0,0.083,1,NA,NA,NA
"by order",20,8,0.764,0.785,0.798,-0.072,-0.055,112,84,-0.822,0.745,NA,NA,NA,0.377,0.39,0.406,0.775,0.789,0.807,0.051,0.064,0.091,0,0,0,0,0.111,1,160,164.667,167,159,163.444,166,160,164.667,167,0,0,0,NA,NA,NA
"by order",20,9,0.798,0.798,0.798,-0.022,-0.006,112,84,-0.821,0.801,NA,NA,NA,0.397,0.397,0.397,0.801,0.801,0.801,0.057,0.057,0.057,0,0,0,0,0,0,166,166,166,165,165,165,166,166,166,0,0,0,NA,NA,NA
"by order",30,3,0.21,0.611,0.756,-0.295,-0.332,88,73,-0.796,1.631,NA,NA,NA,0.24,0.526,1.851,0.531,0.748,0.992,0.074,0.196,0.378,0,0,0,0,0.702,5,99,139.321,163,98,138.631,162,99,139.321,163,0,1.952,22,NA,NA,NA
"by order",30,4,0.094,0.611,0.799,-0.236,-0.273,88,166,-0.767,5.204,NA,NA,NA,0.26,0.647,1.661,0.645,0.807,0.991,0.04,0.119,0.273,0,0,0,0,0.127,3,127,154.405,169,126,153.532,167,127,154.405,169,0,0.587,7,NA,NA,NA
"by order",30,5,0.439,0.767,0.819,-0.207,-0.203,88,166,-0.748,0.426,NA,NA,NA,0.284,0.329,1.563,0.722,0.778,0.991,0.034,0.091,0.21,0,0,0,0,0.183,3,139,159.627,170,138,158.651,170,139,159.627,170,0,0.175,3,NA,NA,NA
"by order",30,6,0.727,0.804,0.843,-0.162,-0.15,88,166,-0.731,0.535,NA,NA,NA,0.295,0.327,0.382,0.752,0.796,0.852,0.028,0.063,0.131,0,0,0,0,0.083,1,153,164.726,171,152,163.738,170,153,164.726,171,0,0.036,1,NA,NA,NA
"by order",30,7,0.204,0.821,0.858,-0.113,-0.098,88,166,-0.712,1.111,NA,NA,NA,0.312,0.365,1.505,0.785,0.814,0.991,0.028,0.05,0.102,0,0,0,0,0,0,158,167.222,171,158,166.278,169,158,167.222,171,0,0,0,NA,NA,NA
"by order",30,8,0.826,0.849,0.863,-0.069,-0.05,88,166,-0.69,0.653,NA,NA,NA,0.326,0.34,0.36,0.807,0.822,0.842,0.028,0.038,0.057,0,0,0,0,0,0,166,169.333,171,165,168.222,169,166,169.333,171,0,0,0,NA,NA,NA
"by order",30,9,0.864,0.864,0.864,-0.027,-0.002,88,166,-0.663,0.66,NA,NA,NA,0.347,0.347,0.347,0.832,0.832,0.832,0.028,0.028,0.028,0,0,0,0,0,0,171,171,171,169,169,169,171,171,171,0,0,0,NA,NA,NA
"by order",40,3,0.299,0.664,0.781,-0.309,-0.325,88,110,-0.808,0.15,NA,NA,NA,0.227,0.313,1.763,0.616,0.763,0.994,0.051,0.174,0.378,0,0,0,0,0.702,6,104,144.012,166,103,143.25,165,104,144.012,166,0,0.845,14,NA,NA,NA
"by order",40,4,0.236,0.738,0.824,-0.252,-0.265,88,73,-0.794,0.4,NA,NA,NA,0.249,0.357,1.72,0.716,0.802,0.994,0.034,0.105,0.286,0,0,0,0,0.294,2,123,157.04,170,122,156.175,170,123,157.04,170,0,0.19,2,NA,NA,NA
"by order",40,5,0.709,0.801,0.855,-0.204,-0.201,88,166,-0.787,0.384,NA,NA,NA,0.266,0.301,0.408,0.767,0.815,0.9,0.023,0.067,0.199,0,0,0,0,0.175,2,141,163.937,172,140,163.016,172,141,163.937,172,0,0.056,1,NA,NA,NA
"by order",40,6,0.759,0.839,0.879,-0.152,-0.137,88,166,-0.78,0.487,NA,NA,NA,0.282,0.307,0.367,0.801,0.83,0.882,0.017,0.044,0.108,0,0,0,0,0.083,1,157,168.155,173,156,167.238,172,157,168.155,173,0,0.012,1,NA,NA,NA
"by order",40,7,0.812,0.868,0.895,-0.104,-0.09,88,166,-0.77,0.557,NA,NA,NA,0.295,0.313,0.352,0.823,0.841,0.875,0.017,0.031,0.074,0,0,0,0,0.028,1,163,170.444,173,163,169.556,172,163,170.444,173,0,0,0,NA,NA,NA
"by order",40,8,0.851,0.891,0.902,-0.058,-0.046,88,166,-0.756,0.593,NA,NA,NA,0.309,0.317,0.336,0.841,0.85,0.866,0.017,0.025,0.028,0,0,0,0,0,0,171,171.667,173,170,170.778,172,171,171.667,173,0,0,0,NA,NA,NA
"by order",40,9,0.909,0.909,0.909,-0.014,0.001,88,166,-0.737,0.593,NA,NA,NA,0.32,0.32,0.32,0.855,0.855,0.855,0.023,0.023,0.023,0,0,0,0,0,0,172,172,172,171,171,171,172,172,172,0,0,0,NA,NA,NA
"by order",50,3,0.409,0.691,0.788,-0.31,-0.334,88,110,-0.81,0.178,NA,NA,NA,0.223,0.287,0.452,0.682,0.796,0.923,0.023,0.165,0.369,0,0,0,0,0.452,4,108,146.345,171,108,145.679,169,108,146.345,171,0,0.25,9,NA,NA,NA
"by order",50,4,0.128,0.739,0.853,-0.244,-0.269,88,166,-0.799,1.947,NA,NA,NA,0.235,0.447,2.124,0.747,0.843,0.997,0.023,0.09,0.284,0,0,0,0,0.016,1,126,160.056,172,125,159.246,171,126,160.056,172,0,0.008,1,NA,NA,NA
"by order",50,5,0.734,0.837,0.882,-0.203,-0.203,88,110,-0.787,0.173,NA,NA,NA,0.258,0.291,0.403,0.803,0.842,0.919,0.017,0.055,0.176,0,0,0,0,0.048,1,145,166.31,173,144,165.492,171,145,166.31,173,0,0,0,NA,NA,NA
"by order",50,6,0.802,0.877,0.909,-0.15,-0.143,88,133,-0.776,0.157,NA,NA,NA,0.273,0.296,0.366,0.831,0.855,0.906,0.011,0.034,0.08,0,0,0,0,0.012,1,161,169.94,174,161,169.202,173,161,169.94,174,0,0,0,NA,NA,NA
"by order",50,7,0.865,0.906,0.93,-0.101,-0.091,88,133,-0.762,0.229,NA,NA,NA,0.287,0.303,0.35,0.851,0.866,0.9,0.011,0.023,0.051,0,0,0,0,0,0,167,171.972,174,167,171.25,173,167,171.972,174,0,0,0,NA,NA,NA
"by order",50,8,0.917,0.929,0.94,-0.055,-0.043,88,133,-0.747,0.292,NA,NA,NA,0.3,0.31,0.326,0.867,0.875,0.888,0.006,0.014,0.023,0,0,0,0,0,0,172,173.556,175,171,172.778,174,172,173.556,175,0,0,0,NA,NA,NA
"by order",50,9,0.947,0.947,0.947,-0.012,0,88,133,-0.725,0.349,NA,NA,NA,0.318,0.318,0.318,0.883,0.883,0.883,0.006,0.006,0.006,0,0,0,0,0,0,175,175,175,174,174,174,175,175,175,0,0,0,NA,NA,NA
"by order",60,3,0.39,0.694,0.811,-0.31,-0.339,88,110,-0.7,0.224,NA,NA,NA,0.209,0.276,0.433,0.702,0.815,0.93,0.023,0.148,0.352,0,0,0,0,0.381,4,112,149.548,172,111,148.929,170,112,149.548,172,0,0.06,3,NA,NA,NA
"by order",60,4,0.358,0.792,0.886,-0.254,-0.273,88,110,-0.657,0.226,NA,NA,NA,0.22,0.293,1.662,0.762,0.841,0.996,0.011,0.077,0.261,0,0,0,0,0.119,1,129,162.349,174,129,161.659,173,129,162.349,174,0,0,0,NA,NA,NA
"by order",60,5,0.751,0.859,0.926,-0.2,-0.209,88,110,-0.599,0.137,NA,NA,NA,0.243,0.277,0.377,0.816,0.855,0.924,0.006,0.043,0.136,0,0,0,0,0.048,1,152,168.452,175,151,167.794,173,152,168.452,175,0,0,0,NA,NA,NA
"by order",60,6,0.822,0.906,0.942,-0.145,-0.148,88,110,-0.543,0.082,NA,NA,NA,0.254,0.281,0.354,0.839,0.867,0.917,0.006,0.026,0.068,0,0,0,0,0.012,1,163,171.381,175,163,170.774,174,163,171.381,175,0,0,0,NA,NA,NA
"by order",60,7,0.889,0.939,0.961,-0.094,-0.093,88,133,-0.489,0.142,NA,NA,NA,0.27,0.287,0.336,0.861,0.877,0.911,0.006,0.017,0.051,0,0,0,0,0,0,167,173.056,175,167,172.444,174,167,173.056,175,0,0,0,NA,NA,NA
"by order",60,8,0.951,0.964,0.976,-0.047,-0.042,88,133,-0.439,0.205,NA,NA,NA,0.284,0.293,0.313,0.877,0.884,0.899,0,0.011,0.017,0,0,0,0,0,0,173,174,176,173,173.444,174,173,174,176,0,0,0,NA,NA,NA
"by order",60,9,0.982,0.982,0.982,-0.004,0.001,88,133,-0.394,0.261,NA,NA,NA,0.296,0.296,0.296,0.889,0.889,0.889,0.011,0.011,0.011,0,0,0,0,0,0,174,174,174,174,174,174,174,174,174,0,0,0,NA,NA,NA
"by order",70,3,0.347,0.699,0.804,-0.306,-0.34,172,84,-0.502,0.4,NA,NA,NA,0.198,0.332,1.749,0.718,0.835,0.996,0.017,0.138,0.358,0,0,0,0,0.321,4,113,151.476,173,112,150.881,171,113,151.476,173,0,0,0,NA,NA,NA
"by order",70,4,0.118,0.772,0.898,-0.243,-0.28,172,166,-0.386,1.921,NA,NA,NA,0.215,0.413,1.692,0.786,0.868,0.997,0.011,0.071,0.261,0,0,0,0,0.016,1,129,163.571,174,129,162.849,172,129,163.571,174,0,0,0,NA,NA,NA
"by order",70,5,0.143,0.866,0.931,-0.193,-0.216,172,166,-0.282,0.663,NA,NA,NA,0.233,0.325,1.521,0.83,0.874,0.996,0.006,0.039,0.131,0,0,0,0,0,0,153,169.143,175,152,168.437,173,153,169.143,175,0,0,0,NA,NA,NA
"by order",70,6,0.847,0.924,0.956,-0.143,-0.154,172,110,-0.195,0.088,NA,NA,NA,0.247,0.273,0.343,0.854,0.88,0.924,0.006,0.025,0.074,0,0,0,0,0.012,1,162,171.643,175,162,171.036,174,162,171.643,175,0,0,0,NA,NA,NA
"by order",70,7,0.917,0.958,0.976,-0.091,-0.099,172,110,-0.122,0.05,NA,NA,NA,0.26,0.279,0.33,0.873,0.889,0.921,0,0.016,0.045,0,0,0,0,0,0,168,173.139,176,168,172.611,174,168,173.139,176,0,0,0,NA,NA,NA
"by order",70,8,0.972,0.982,0.99,-0.044,-0.047,172,110,-0.057,0.022,NA,NA,NA,0.275,0.284,0.304,0.888,0.895,0.908,0,0.012,0.017,0,0,0,0,0,0,173,173.889,176,173,173.556,174,173,173.889,176,0,0,0,NA,NA,NA
"by order",70,9,NA,NA,NA,0,0,1,1,0,0,NA,NA,NA,0.288,0.288,0.288,0.9,0.9,0.9,0.011,0.011,0.011,0,0,0,0,0,0,174,174,174,174,174,174,174,174,174,0,0,0,NA,NA,NA
