"group","n_occasions","n_items","diff_ICC_sim_mean","diff_ICC_sim_var","diff_ICC_MCSE","diff_ICC.z_sim_mean","diff_ICC.z_sim_var","diff_ICC.z_MCSE","cor_ICC_sim_mean","cor_ICC_sim_var","cor_ICC_MCSE","cor_ICC.z_sim_mean","cor_ICC.z_sim_var","cor_ICC.z_MCSE","RMSE_ICC_sim_mean","RMSE_ICC_sim_var","RMSE_ICC_MCSE","RMSE_ICC.z_sim_mean","RMSE_ICC.z_sim_var","RMSE_ICC.z_MCSE","rel_sim_mean","rel_sim_var","rel_MCSE","sd_ICC_sim_mean","sd_ICC_sim_var","sd_ICC_MCSE","sd_ICC.z_sim_mean","sd_ICC.z_sim_var","sd_ICC.z_MCSE","percnegICC_sim_mean","percnegICC_sim_var","percnegICC_MCSE","N_rel_sim_mean","N_rel_sim_var","N_rel_MCSE"
"medium NED",30,10,-0.021,0,0,-0.215,0.001,0.001,0.312,0.025,0.005,0.304,0.025,0.005,0.082,0,0,0.275,0.001,0.001,0.346,0.024,0.005,0.084,0,0,0.18,0,0.001,0,0,0,36,0,0
"medium NED",30,15,-0.005,0,0,-0.02,0,0.001,0.433,0.023,0.005,0.413,0.023,0.005,0.06,0,0,0.143,0,0.001,0.189,0.025,0.005,0.067,0,0,0.156,0,0.001,0,0,0,36,0,0
"medium NED",40,5,-0.066,0,0,-0.522,0,0.001,0.267,0.024,0.005,0.268,0.023,0.005,0.102,0,0,0.542,0,0.001,0.185,0.025,0.005,0.08,0,0,0.145,0,0.001,0.01,0,0,36,0,0
"medium NED",40,10,-0.019,0,0,-0.208,0,0.001,0.408,0.02,0.005,0.401,0.021,0.005,0.068,0,0,0.25,0,0.001,0.327,0.021,0.005,0.071,0,0,0.152,0,0.001,0,0,0,36,0,0
"medium NED",40,15,-0.003,0,0,-0.012,0,0.001,0.556,0.019,0.004,0.538,0.021,0.005,0.046,0,0,0.107,0,0.001,0.129,0.019,0.004,0.055,0,0,0.127,0,0.001,0,0,0,36,0,0
"medium NED",50,5,-0.065,0,0,-0.519,0,0,0.328,0.017,0.004,0.329,0.017,0.004,0.093,0,0,0.533,0,0,0.142,0.018,0.004,0.069,0,0,0.125,0,0,0.004,0,0,36,0,0
"medium NED",50,10,-0.017,0,0,-0.203,0,0,0.485,0.015,0.004,0.483,0.017,0.004,0.057,0,0,0.233,0,0.001,0.301,0.016,0.004,0.062,0,0,0.132,0,0,0,0,0,36,0,0
"medium NED",50,15,-0.002,0,0,-0.006,0,0,0.677,0.014,0.004,0.661,0.017,0.004,0.034,0,0,0.079,0,0.001,0.069,0.012,0.004,0.046,0,0,0.105,0,0,0,0,0,36,0,0
"medium NED",60,5,-0.065,0,0,-0.517,0,0,0.382,0.009,0.003,0.385,0.009,0.003,0.086,0,0,0.527,0,0,0.098,0.01,0.003,0.061,0,0,0.11,0,0,0.001,0,0,36,0,0
"medium NED",60,10,-0.016,0,0,-0.198,0,0,0.566,0.008,0.003,0.57,0.01,0.003,0.047,0,0,0.219,0,0,0.243,0.012,0.003,0.055,0,0,0.115,0,0,0,0,0,36,0,0
"medium NED",60,15,-0.001,0,0,-0.002,0,0,0.823,0.012,0.003,0.812,0.015,0.004,0.021,0,0,0.05,0,0.001,0.019,0.003,0.002,0.039,0,0,0.087,0,0,0,0,0,36,0,0
