"group","occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","min_diff_ICC_min","mean_diff_ICC_mean","max_diff_ICC_max","RMSE_ICC_min","RMSE_ICC_mean","RMSE_ICC_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","negICC_min","negICC_mean","negICC_max","estimationProbNeg_min","estimationProbNeg_mean","estimationProbNeg_max","estimationProbPos_min","estimationProbPos_mean","estimationProbPos_max","N_rel_min","N_rel_mean","N_rel_max","N_valid_ICC.z_min","N_valid_ICC.z_mean","N_valid_ICC.z_max"
"low NED","by order",40,10,0.1,0.1,0.1,-0.529,-0.016,0.187,0.117,0.117,0.117,0.101,0.101,0.101,0.629,0.629,0.629,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",40,15,0.045,0.045,0.045,-0.532,-0.007,0.205,0.114,0.114,0.114,0.094,0.094,0.094,0.641,0.641,0.641,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",50,5,0.275,0.275,0.275,-0.546,-0.075,0.244,0.138,0.138,0.138,0.115,0.115,0.115,0.639,0.639,0.639,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",50,10,0.284,0.284,0.284,-0.472,-0.026,0.106,0.1,0.1,0.1,0.091,0.091,0.091,0.618,0.618,0.618,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",50,15,0.205,0.205,0.205,-0.492,-0.015,0.127,0.096,0.096,0.096,0.082,0.082,0.082,0.601,0.601,0.601,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",60,5,0.337,0.337,0.337,-0.56,-0.072,0.251,0.132,0.132,0.132,0.115,0.115,0.115,0.703,0.703,0.703,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",60,10,0.393,0.393,0.393,-0.483,-0.025,0.062,0.089,0.089,0.089,0.085,0.085,0.085,0.63,0.63,0.63,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",60,15,0.317,0.317,0.317,-0.503,-0.015,0.045,0.086,0.086,0.086,0.077,0.077,0.077,0.631,0.631,0.631,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",70,5,0.793,0.793,0.793,-0.173,-0.054,0.2,0.086,0.086,0.086,0.108,0.108,0.108,0.702,0.702,0.702,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",70,10,0.941,0.941,0.941,-0.067,-0.007,0.072,0.031,0.031,0.031,0.085,0.085,0.085,0.658,0.658,0.658,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
