"group","occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","min_diff_ICC.z_min","mean_diff_ICC.z_mean","max_diff_ICC.z_max","RMSE_ICC.z_min","RMSE_ICC.z_mean","RMSE_ICC.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","negICC_min","negICC_mean","negICC_max","estimationProbNeg_min","estimationProbNeg_mean","estimationProbNeg_max","estimationProbPos_min","estimationProbPos_mean","estimationProbPos_max","N_rel_min","N_rel_mean","N_rel_max","N_valid_ICC.z_min","N_valid_ICC.z_mean","N_valid_ICC.z_max"
"medium NED","random",40,10,-0.086,0.411,0.786,-0.948,-0.208,0.75,0.191,0.25,0.31,0.108,0.152,0.21,0,0.327,0.66,0,0.001,1,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",40,15,-0.004,0.554,0.884,-0.819,-0.012,0.743,0.062,0.107,0.183,0.084,0.127,0.185,0,0.129,0.576,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",50,5,-0.081,0.336,0.688,-1.039,-0.519,0.423,0.494,0.533,0.579,0.091,0.125,0.185,0,0.142,0.609,0,0.161,2,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",50,10,-0.03,0.493,0.803,-0.944,-0.203,0.691,0.196,0.233,0.29,0.097,0.132,0.185,0,0.301,0.652,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",50,15,0.142,0.681,0.918,-0.602,-0.006,0.506,0.043,0.079,0.141,0.071,0.105,0.151,0,0.069,0.5,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",60,5,0.036,0.389,0.603,-1.004,-0.517,0.241,0.505,0.527,0.559,0.09,0.11,0.156,0,0.098,0.545,0,0.047,1,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",60,10,0.2,0.578,0.814,-0.822,-0.198,0.557,0.196,0.219,0.269,0.092,0.115,0.157,0,0.243,0.598,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",60,15,0.311,0.84,0.964,-0.55,-0.002,0.436,0.025,0.05,0.106,0.064,0.087,0.119,0,0.019,0.329,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",14,5,-0.207,-0.207,-0.207,-1.257,-0.609,-0.222,0.664,0.664,0.664,0.243,0.243,0.243,0.096,0.096,0.096,5,5,5,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",14,10,-0.16,-0.16,-0.16,-1.313,-0.278,0.342,0.424,0.424,0.424,0.305,0.305,0.305,0.488,0.488,0.488,1,1,1,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",14,15,-0.231,-0.231,-0.231,-1.191,-0.1,0.36,0.326,0.326,0.326,0.29,0.29,0.29,0.455,0.455,0.455,1,1,1,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",20,5,-0.13,-0.13,-0.13,-1.128,-0.579,-0.215,0.618,0.618,0.618,0.199,0.199,0.199,0.099,0.099,0.099,2,2,2,0,0,0,0,0,0,36,36,36,36,36,36
